  [123/144] seed 30 b2.0       dF1 75.3  F1 sd 64.1  aligned 0.02929
  [126/144] seed 31 b1.0-rnd   dF1 13.2  F1 sd 45.3  aligned 0.00219
  [127/144] seed 31 b2.0       dF1 177.7  F1 sd 116.4  aligned 0.02692
  [128/144] seed 31 b2.0-rnd   dF1 10.0  F1 sd 51.8  aligned 0.01041
  [129/144] seed 32 b1.0       dF1 72.6  F1 sd 54.2  aligned 0.03731
  [130/144] seed 32 b1.0-rnd   dF1 54.1  F1 sd 47.1  aligned 0.01043
  [131/144] seed 32 b2.0       dF1 17.1  F1 sd 71.2  aligned 0.00872
  [133/144] seed 33 b1.0       dF1 88.6  F1 sd 67.2  aligned 0.00917
  [134/144] seed 33 b1.0-rnd   dF1 0.8  F1 sd 33.6  aligned 0.00759
  [132/144] seed 32 b2.0-rnd   dF1 2.4  F1 sd 44.0  aligned 0.01271
  [136/144] seed 33 b2.0-rnd   dF1 40.8  F1 sd 48.1  aligned 0.01293
  [137/144] seed 34 b1.0       dF1 84.4  F1 sd 72.6  aligned 0.01531
  [135/144] seed 33 b2.0       dF1 70.6  F1 sd 73.6  aligned 0.00599
  [138/144] seed 34 b1.0-rnd   dF1 26.6  F1 sd 37.2  aligned 0.01089
  [139/144] seed 34 b2.0       dF1 121.6  F1 sd 86.6  aligned 0.02015
  [140/144] seed 34 b2.0-rnd   dF1 2.8  F1 sd 45.8  aligned 0.00607
  [141/144] seed 35 b1.0       dF1 51.4  F1 sd 51.7  aligned 0.00264
  [142/144] seed 35 b1.0-rnd   dF1 1.2  F1 sd 36.6  aligned 0.00183
  [143/144] seed 35 b2.0       dF1 47.0  F1 sd 53.7  aligned 0.01921
  [144/144] seed 35 b2.0-rnd   dF1 11.1  F1 sd 43.2  aligned 0.00959
experiment: poolbeta
  instrument        poolbeta   trial seed 00000000013594b3   1214 trials
                    another probe is another trial sequence: its numbers
                    are not comparable with these (~0.05 at 300 trials)
  question          the larynx compresses -- dF1 ~ aligned^0.61 -- and that
                    curve both limits delivery AND kills the drift through
                    its derivative. Does sharpening the pooling widen it?
  the measure       EXCESS of taught over its own matched-marginal control,
                    per beta. A beta that lifts both has bought scatter.
  the real risk     teachability, not delivery. centroid-is-steerability
                    measured 5 dictionary readouts NOT teachable where 2
                    centroid ones were, so a hard argmax should fail here.


  ARM LIVENESS vs `b1.0` (seeds where the arm differs at all)
    b1.0-rnd           36/36
    b2.0               36/36
    b2.0-rnd           36/36

  arm        dF1 (Hz)         F1 scatter  aligned   gain      
  b1.0         63.5 +/- 4.4     61.5        0.01991   2.19
  b1.0-rnd     24.9 +/- 2.8     39.7        0.00626   0.74
  b2.0         83.2 +/- 5.8     80.0        0.01492   1.71
  b2.0-rnd     26.4 +/- 3.7     48.2        0.00772   0.90

  EXCESS over the matched-marginal control at the SAME beta, paired.
  This is the quantity that separates steering from scatter.
  b1.0         +38.6 +/- 5.1 (+7.62 SE)
  b2.0         +56.8 +/- 5.6 (+10.13 SE)

  vs the shipped centroid, PAIRED on seed (these arms share creatures)
  b2.0         +18.2 +/- 6.5 (+2.82 SE)

  DELIVERY PER UNIT OF ALIGNED BIAS, b2.0 - b1.0, paired:
  +16950 +/- 11967 (+1.42 SE) -- the mechanism claim, and it is a
  different quantity from the gate: decompression delivers more formant
  from LESS bias, which noise does not do.

  SHARPENING WIDENS IT. `b2.0` beats the shipped centroid's excess by +18.2 Hz
  against its OWN control, so this is steering and not scatter. The readout
  was the constraint, which is what the derivative argument predicted and
  what nine mechanism routes could not reach.
