  derived    1.0102         1.0476 +/- 0.0100  0.50         0.11
  random     1.0446         1.0671 +/- 0.0028  -0.15        0.16

  ARM LIVENESS vs `off` (seeds where the arm differs at all)
    oracle             36/36
    derived            36/36
    random             36/36

  ERR-AFTER IMPROVEMENT over `random` (the mask's cost, no information),
  paired on seed. Positive means the arm ends CLOSER to lesson A.
    oracle   -0.0184 +/- 0.0025  (-7.4 SE)
    derived  +0.0195 +/- 0.0098  (+2.0 SE)

  THE MASK DOES NOT TRANSFER. Even keyed on the TRUE lesson it does not
  beat its own cost-matched control at 2 SE, so `credit`'s ~1.0 is a fact
  about that protocol and not about this one. Write separation is refused
  on the retention conflict, and with protection already refused
  (`meta_commit` null, `bankprobe` refused) the overwrite has no remaining
  named route -- which is a harder and more useful place to stand than a
  fifteenth knob.
